version,precision,N,IT,LOCAL_WORKGROUP_DIM_1,LOCAL_WORKGROUP_DIM_2,elapsed_ms 
opencl_V2,float,4096,1000,2,128,9427.000
opencl_V3,float,4096,1000,2,128,10330.000
opencl_V2,float,4096,1000,1,256,5849.000
opencl_V3,float,4096,1000,1,256,6246.000
opencl_V2,float,4096,1000,2,256,5578.000
opencl_V3,float,4096,1000,2,256,6358.000
opencl_V2,float,4096,1000,8,32,44098.000
opencl_V3,float,4096,1000,8,32,31203.000
opencl_V2,float,4096,1000,4,64,17106.000
opencl_V3,float,4096,1000,4,64,15801.000
opencl_V2,float,4096,1000,2,128,8315.000
opencl_V2,float,4096,1000,1,256,6032.000
opencl_V3,float,4096,1000,1,256,6692.000
opencl_V2,float,4096,1000,2,256,6656.000
opencl_V3,float,4096,1000,2,256,7376.000
opencl_V2,float,4096,1000,8,32,42789.000
opencl_V3,float,4096,1000,8,32,30592.000
opencl_V2,float,4096,1000,4,64,15766.000
opencl_V3,float,4096,1000,4,64,16870.000
opencl_V2,float,4096,1000,2,128,9431.000
opencl_V3,float,4096,1000,2,128,10092.000
opencl_V2,float,4096,1000,1,256,5755.000
opencl_V3,float,4096,1000,1,256,5424.000
opencl_V2,float,4096,1000,2,256,5524.000
opencl_V3,float,4096,1000,2,256,6741.000
opencl_V2,float,4096,1000,8,32,42750.000
opencl_V3,float,4096,1000,8,32,30965.000
opencl_V2,float,4096,1000,4,64,16252.000
opencl_V3,float,4096,1000,4,64,16058.000
opencl_V2,float,4096,1000,2,128,8268.000
opencl_V3,float,4096,1000,2,128,10259.000
opencl_V2,float,4096,1000,1,256,5844.000
opencl_V3,float,4096,1000,1,256,6358.000
opencl_V2,float,4096,1000,2,256,6880.000
opencl_V3,float,4096,1000,2,256,7614.000
opencl_V2,float,4096,1000,8,32,42423.000
opencl_V3,float,4096,1000,8,32,30828.000
opencl_V2,float,4096,1000,4,64,16612.000
opencl_V3,float,4096,1000,4,64,16485.000
opencl_V2,float,4096,1000,2,128,9323.000
opencl_V3,float,4096,1000,2,128,9323.000
opencl_V2,float,4096,1000,1,256,5031.000
opencl_V3,float,4096,1000,1,256,6498.000
opencl_V2,float,4096,1000,2,256,6719.000
opencl_V3,float,4096,1000,2,256,7513.000
